NODE_KEY,PRODCUT_ID,TYPE_CODE,CATEGORY,DESC_GUID_NODE_KEY,SUPPLIER_GUID_NODE_KEY,TAX_TARIF_CODE,MEASURE_UNIT,WEIGHT_MEASURE, WEIGHT_UNIT, CURRENCY_CODE,PRICE,WIDTH,DEPTH,HEIGHT,DIM_UNIT
545491f6-f275-4ab2-80dc-1062bbce965c,01J3B94EQ2W8R7EFX2K56Y1ZMQ,TH,Plastic,7e5a7b57-8034-40b7-b841-9d699a454a7d,a1f2e7d8-7524-4591-be1b-413a13ae4b37,62011-0135,KG,89,KG,THB,9,83,89,88,CM
55f28b99-3af0-435d-8b96-cfe986c1af75,01J3B94FAE5EWEJYN59WBVHFY9,CA,Brass,b96c9696-6c75-4eb2-938a-f5cd12d2016f,ac01fe54-d3d2-4539-8389-898fc60ba32f,51079-985,KG,33,KG,CAD,17,3,99,59,CM
3839e1e3-afe2-4e94-8290-767f0320e529,01J3B94FAG0CXPGMZSWTTN66RT,PT,Vinyl,05fb2a81-8d54-4a52-8c3a-425994e4426b,3a1f6c17-be7e-4c0d-8be6-435c493c688c,30142-109,KG,1,KG,EUR,12,24,73,47,CM
35e2cb84-d3a5-4e88-b290-1ff525c1f53d,01J3B94FAKFBNH6XYXJFMN4KHF,PK,Vinyl,0c9fc17f-2197-44d6-9fb6-1286f65dff6c,4231a144-3609-471b-9e1d-a89684d8bd0c,21695-254,KG,68,KG,PKR,19,8,66,57,CM
17ec3052-207c-46eb-ab00-ccff5a151416,01J3B94FAN5TYP1J0F4EDGF9P9,CN,Granite,bbb83f68-7a70-400b-a4c8-4969f1fb1319,f945843c-6b08-4cc8-837b-ef78c2edda44,17478-716,KG,91,KG,CNY,43,61,61,94,CM
ad62f666-20ec-4945-b793-3a46f31f33b5,01J3B94FAQ2DAK9D2QX17465ZV,CN,Aluminum,ae4518ce-78b9-4a44-9034-045b14b45209,1ef0c3f4-f019-4d6d-8e7a-44cfe7d5d4a3,68084-327,KG,27,KG,CNY,61,57,63,35,CM
623b37d7-6b5a-4c76-9d74-d02d92ed7f54,01J3B94FASGXXKG2XAE5GWCQ03,CU,Vinyl,ea241af3-8cbc-474c-bf36-675580fe5592,074f67bd-c329-413a-8682-c96b9ed9c879,50928-200,KG,48,KG,CUP,85,80,6,81,CM
05704ee2-4f33-4721-b181-04460b6bce21,01J3B94FAT51F1XEFKREYQ9BCY,MT,Aluminum,40cee291-aaf5-40dc-9ec7-430be8799736,8e967a4a-8f01-4fd2-83e6-a1d384da84a7,55758-008,KG,78,KG,EUR,66,98,42,36,CM
76289d69-782a-4b4c-876c-ff891a31b301,01J3B94FAWR0WHGMKJ6GXCEFE4,BA,Stone,2522a303-c990-4c0a-a8e0-1b46777a9be3,405c1b1e-5a3c-4d01-93c6-d88d25bdf3db,49884-137,KG,28,KG,BAM,6,38,23,70,CM
732e7d98-f363-4c13-86bb-240d8788ea15,01J3B94FAYE38TAHFHSZ45DDN0,GT,Steel,5e29d6ce-5f41-4434-83fe-02457572bb9a,b70de58e-0071-4105-9ba9-7d1feede1292,54569-8708,KG,76,KG,GTQ,48,54,18,19,CM
c2ae59c5-3876-4a63-bf74-16078831b46c,01J3B94FB0H8QR8A4K0CSDGB8N,BY,Vinyl,42c92ed3-45ae-4adb-89b2-b259ff899466,285524be-0aea-459b-a162-dce1329995e1,50580-404,KG,90,KG,BYR,17,30,66,97,CM
28b72b08-aa28-4a75-b153-22d9201122ec,01J3B94FB2VE1N9SC9NREP4DDG,PH,Plastic,720008b9-89c5-4a09-9ec7-03d97f0f1825,7683ee6e-808e-4c6b-901f-421d435bc0eb,64616-100,KG,33,KG,PHP,94,66,43,18,CM
0112f3a9-cbf4-4869-a9e1-ec0d9fd01292,01J3B94FB4WW11CSMTYE5R4VDZ,FI,Aluminum,8cc0558a-36e3-4944-9eb6-e0a5f2e993d8,46af4a90-e142-4109-8bf2-eb237cf77faf,49281-250,KG,94,KG,EUR,14,45,3,15,CM
9ec2c2f5-d906-4c0f-b025-186ed6244bde,01J3B94FB6Q9GSQ6FCS139G4JA,IR,Brass,ee59f884-cffa-4210-b092-f61ac8fabdd5,bb78ad54-f6ec-41fc-8cfa-ac044bd2c1a8,49643-128,KG,100,KG,IRR,62,81,4,52,CM
cd518933-76e3-49a0-bdb1-c95c353e7414,01J3B94FB8A3FCZEMA12D5QBV5,MD,Stone,a8868bdb-ad15-4bed-9465-db8d3568a1c4,879eed1a-42f7-4a4f-afe8-ede093930c73,64117-100,KG,100,KG,MDL,30,1,85,96,CM
339fbef6-3c5d-4d83-af06-25576550a4ca,01J3B94FBBPDNKJZBBX23AEZW1,CO,Granite,27f92723-ec89-43d2-91a5-047d17c72f1a,3cc225af-640e-445d-8213-2d68527a8319,42627-257,KG,5,KG,COP,3,18,37,3,CM
a4f0570a-52d4-41d5-b344-6c3df54580b7,01J3B94FBDY3SFEK621D1VZVYX,GR,Granite,595c95c9-74a6-4052-a53b-6a7e75f6b8a5,f94473c7-bab0-4dcf-be27-eaf52381bd70,17312-015,KG,3,KG,EUR,49,21,64,31,CM
67ce6e5b-18d2-4ee3-9701-c5be1252cd43,01J3B94FBFAZVSTGV9XVP994CK,PK,Plastic,f276d4ae-3f60-4777-9317-314438580e8d,ff036db9-ccf2-4567-b52c-dee9a0a81464,58118-5061,KG,26,KG,PKR,6,91,53,97,CM
48f68e40-3fef-48af-b728-0368c6adc177,01J3B94FBH91E92XQ1ME3NQW4G,ID,Plastic,2587674f-d43b-4609-bc03-012afeb24e5e,83a657a7-732e-496f-85d2-e63a836ed7f8,35356-914,KG,36,KG,IDR,20,95,20,80,CM
6f485de7-d1e6-4165-acad-0a6221e7103e,01J3B94FBK4HERA38ZYAJXAVFH,ID,Wood,02730ae7-f0b1-408b-bd18-ec422df91840,85a2a73f-f3c4-4499-9ced-769584675395,60258-151,KG,25,KG,IDR,69,68,88,34,CM
3ed10ef9-2e7a-42f3-9712-dcf6d5d0d778,01J3B94FBNH4519XAEJ7P7TB0F,ZW,Wood,409d0d66-12bc-49d2-bf62-5ca5cc71616c,e5edcbc9-f305-4e32-9c3b-a6a86de2d41a,66579-0078,KG,85,KG,ZWL,61,43,52,77,CM
18247e7a-d28c-48b3-94f9-5c281855e8c9,01J3B94FBQ4Q7EKH2Z4WRTJ6SP,TH,Rubber,21167265-bf25-4b23-bfe4-d5078b019d91,8c797225-9eba-4d42-97f6-4622af2e0f00,0603-1161,KG,37,KG,THB,25,63,75,4,CM
5ef21fcc-49a0-4db1-ac2e-5a8a3a75b334,01J3B94FBTV0TMX9ZC2M9DGHPN,PT,Wood,2718d2c9-50d0-48dc-9336-39fbb3715764,1c6a0193-83c1-47fb-a822-ef2c094cce10,47682-257,KG,35,KG,EUR,79,90,23,74,CM
7ef299f3-d476-4701-be95-0606af7605b9,01J3B94FBV9BY1FXQNM2D8ZYK8,RU,Granite,dfa356e6-b1b8-4bb6-b87f-651ca8fb1d91,7a45cd5a-b90a-466d-b709-d42f6d627e5d,60512-6060,KG,27,KG,RUB,97,15,73,3,CM
aab3bf99-eae1-4ae9-a8f8-e2e352bdf50d,01J3B94FBX72AMDG72MK517JE5,US,Brass,9f5ab6ef-9a94-4605-a641-fd287c24e8ea,452f1120-e019-4890-aefd-1caa71db6bae,49953-1893,KG,20,KG,USD,72,35,17,60,CM
7ecc3e86-3171-4ed2-bc6a-0f5c3e2834dc,01J3B94FBZ88XMJE8R9EK99RNF,CN,Aluminum,77bd9b4a-20d6-49b1-8ced-866dfda8ff08,24cbd9fb-af60-419f-aa2c-0976688a597b,49527-709,KG,21,KG,CNY,91,91,57,8,CM
6a926120-361f-4064-8bde-d2a2cbf0a7b8,01J3B94FC1K5Z3J82FWYRF1M9S,NG,Stone,ed212092-494c-4b82-a2d8-99d1148308d9,6930d83f-080e-4367-b112-9a7333fc5d19,0378-5012,KG,87,KG,NGN,81,8,40,3,CM
fa80db54-a204-4f2d-9fce-160521d9e40b,01J3B94FC3YK3S200KRVGRDK46,CN,Plexiglass,30953367-8327-4544-8f7e-0d42dfddcf8c,1f4871c7-8f84-4339-9e6f-8ec8b56df8bb,53346-1314,KG,76,KG,CNY,34,10,24,100,CM
3958e4f6-9e85-46bd-8a7b-86be7efa439b,01J3B94FC5HJCDBEBEFKHVZ8EM,US,Plastic,9f032846-7c1d-4086-8ccf-cde2573d8493,b320fb36-78eb-456c-8167-f40ef84a0edf,36987-1285,KG,55,KG,USD,76,35,62,40,CM
